t,thermal_status,ap_c,ap_status,skin_c,skin_status,battery_c
1,0,47.6,0,34.6,0,315
2,0,47.6,0,34.6,0,315
3,0,47.6,0,34.6,0,315
4,0,47.6,0,34.6,0,315
5,0,47.6,0,34.6,0,315
6,0,47.6,0,34.6,0,315
7,0,49.2,0,36.9,0,315
8,0,49.2,0,36.9,0,315
9,0,49.2,0,36.9,0,337
10,0,49.2,0,36.9,0,337
11,0,49.2,0,36.9,0,337
12,0,49.2,0,36.9,0,337
13,0,49.2,0,36.9,0,337
14,0,49.2,0,36.9,0,337
15,0,49.2,0,36.9,0,337
16,0,49.0,0,38.0,0,337
17,0,49.0,0,38.0,0,337
18,0,49.0,0,38.0,0,350
19,0,49.0,0,38.0,0,350
20,0,49.0,0,38.0,0,350
21,0,49.0,0,38.0,0,350
22,0,49.0,0,38.0,0,350
23,0,49.0,0,38.0,0,350
24,0,49.0,0,38.0,0,350
25,0,49.0,0,38.0,0,350
26,0,49.5,0,38.6,0,350
27,0,49.5,0,38.6,0,350
28,0,49.5,0,38.6,0,357
29,0,49.5,0,38.6,0,357
30,0,49.5,0,38.6,0,357
31,0,49.5,0,38.6,0,357
32,0,49.5,0,38.6,0,357
33,0,49.5,0,38.6,0,357
34,0,49.5,0,38.6,0,357
35,0,50.3,0,39.2,0,357
36,0,50.3,0,39.2,0,357
37,0,50.3,0,39.2,0,363
38,0,50.3,0,39.2,0,363
39,0,50.3,0,39.2,0,363
40,0,50.3,0,39.2,0,363
41,0,50.3,0,39.2,0,363
42,0,50.3,0,39.2,0,363
43,0,50.3,0,39.2,0,363
44,0,50.3,0,39.2,0,363
45,0,51.4,0,39.8,0,363
46,0,51.4,0,39.8,0,370
47,0,51.4,0,39.8,0,370
48,0,51.4,0,39.8,0,370
49,0,51.4,0,39.8,0,370
50,0,51.4,0,39.8,0,370
51,0,51.4,0,39.8,0,370
52,0,51.4,0,39.8,0,370
53,0,51.4,0,39.8,0,370
54,1,51.8,0,40.3,1,370
55,1,51.8,0,40.3,1,370
56,1,51.8,0,40.3,1,375
57,1,51.8,0,40.3,1,375
58,1,51.8,0,40.3,1,375
59,1,51.8,0,40.3,1,375
60,1,51.8,0,40.3,1,375
61,1,51.8,0,40.3,1,375
62,1,51.8,0,40.3,1,375
63,1,51.4,0,40.5,1,375
64,1,51.4,0,40.5,1,375
65,1,51.4,0,40.5,1,380
66,1,51.4,0,40.5,1,380
67,1,51.4,0,40.5,1,380
68,1,51.4,0,40.5,1,380
69,1,51.4,0,40.5,1,380
70,1,51.4,0,40.5,1,380
71,1,51.4,0,40.5,1,380
72,1,51.5,0,40.7,1,380
73,1,51.5,0,40.7,1,380
74,1,51.5,0,40.7,1,380
75,1,51.5,0,40.7,1,383
76,1,51.5,0,40.7,1,383
77,1,51.5,0,40.7,1,383
78,1,51.5,0,40.7,1,383
79,1,51.5,0,40.7,1,383
80,1,51.5,0,40.7,1,383
81,1,51.4,0,40.9,1,383
82,1,51.4,0,40.9,1,383
83,1,51.4,0,40.9,1,383
84,1,51.4,0,40.9,1,386
85,1,51.4,0,40.9,1,386
86,1,51.4,0,40.9,1,386
87,1,51.4,0,40.9,1,386
88,1,51.4,0,40.9,1,386
89,1,51.4,0,40.9,1,386
90,1,51.4,0,40.9,1,386
91,1,52.1,0,41.1,1,386
92,1,52.1,0,41.1,1,386
93,1,52.1,0,41.1,1,389
94,1,52.1,0,41.1,1,389
95,1,52.1,0,41.1,1,389
96,1,52.1,0,41.1,1,389
97,1,52.1,0,41.1,1,389
98,1,52.1,0,41.1,1,389
99,1,52.1,0,41.1,1,389
100,1,53.7,0,41.6,1,389
101,1,53.7,0,41.6,1,389
102,1,53.7,0,41.6,1,389
103,1,53.7,0,41.6,1,393
104,1,53.7,0,41.6,1,393
105,1,53.7,0,41.6,1,393
106,1,53.7,0,41.6,1,393
107,1,53.7,0,41.6,1,393
108,1,53.7,0,41.6,1,393
109,2,53.9,0,42.0,2,393
110,2,53.9,0,42.0,2,393
111,2,53.9,0,42.0,2,393
112,2,53.9,0,42.0,2,398
113,2,53.9,0,42.0,2,398
114,2,53.9,0,42.0,2,398
115,2,53.9,0,42.0,2,398
116,2,53.9,0,42.0,2,398
117,2,53.9,0,42.0,2,398
118,2,53.4,0,42.2,2,398
119,2,53.4,0,42.2,2,398
