t,thermal_status,ap_c,ap_status,skin_c,skin_status,battery_c
1,1,42.9,0,39.9,1,411
2,1,42.9,0,39.9,1,417
3,1,42.9,0,39.9,1,417
4,2,60.6,0,43.5,2,417
5,2,60.6,0,43.5,2,417
6,2,60.6,0,43.5,2,417
7,2,60.6,0,43.5,2,417
8,2,60.6,0,43.5,2,417
9,2,60.6,0,43.5,2,417
10,2,60.6,0,43.5,2,417
11,2,60.6,0,43.5,2,417
12,2,60.6,0,43.5,2,437
13,3,57.0,0,45.0,3,437
14,3,57.0,0,45.0,3,437
15,3,57.0,0,45.0,3,437
16,3,57.0,0,45.0,3,437
17,3,57.0,0,45.0,3,437
18,3,57.0,0,45.0,3,437
19,3,57.0,0,45.0,3,437
20,3,57.0,0,45.0,3,437
21,3,57.0,0,45.0,3,443
22,3,54.8,0,44.8,3,443
23,3,54.8,0,44.8,3,443
24,3,54.8,0,44.8,3,443
25,3,54.8,0,44.8,3,443
26,3,54.8,0,44.8,3,443
27,3,54.8,0,44.8,3,443
28,3,54.8,0,44.8,3,443
29,3,54.8,0,44.8,3,443
30,3,54.8,0,44.8,3,444
31,3,53.9,0,44.6,3,444
32,3,53.9,0,44.6,3,444
33,3,53.9,0,44.6,3,444
34,3,53.9,0,44.6,3,444
35,3,53.9,0,44.6,3,444
36,3,53.9,0,44.6,3,444
37,3,53.9,0,44.6,3,444
38,3,53.9,0,44.6,3,444
39,3,53.9,0,44.6,3,444
40,3,54.2,0,44.6,3,444
41,3,54.2,0,44.6,3,444
42,3,54.2,0,44.6,3,444
43,3,54.2,0,44.6,3,444
44,3,54.2,0,44.6,3,444
45,3,54.2,0,44.6,3,444
46,3,54.2,0,44.6,3,444
47,3,54.2,0,44.6,3,444
48,3,54.2,0,44.6,3,445
49,3,54.2,0,44.8,3,445
50,3,54.2,0,44.8,3,445
51,3,54.2,0,44.8,3,445
52,3,54.2,0,44.8,3,445
53,3,54.2,0,44.8,3,445
54,3,54.2,0,44.8,3,445
55,3,54.2,0,44.8,3,445
56,3,54.2,0,44.8,3,445
57,3,54.2,0,44.8,3,446
58,3,54.2,0,44.8,3,446
59,3,53.8,0,44.7,3,446
60,3,53.8,0,44.7,3,446
61,3,53.8,0,44.7,3,446
62,3,53.8,0,44.7,3,446
63,3,53.8,0,44.7,3,446
64,3,53.8,0,44.7,3,446
65,3,53.8,0,44.7,3,446
66,3,53.8,0,44.7,3,447
67,3,53.8,0,44.7,3,447
68,3,53.8,0,44.7,3,447
69,3,53.8,0,44.7,3,447
70,3,53.8,0,44.7,3,447
71,3,53.8,0,44.7,3,447
72,3,53.8,0,44.7,3,447
73,3,53.8,0,44.7,3,447
74,3,53.8,0,44.7,3,447
75,3,53.8,0,44.7,3,447
76,3,54.0,0,44.8,3,448
77,3,54.0,0,44.8,3,448
78,3,54.0,0,44.8,3,448
79,3,54.0,0,44.8,3,448
80,3,54.0,0,44.8,3,448
81,3,54.0,0,44.8,3,448
82,3,54.0,0,44.8,3,448
83,3,54.0,0,44.8,3,448
84,3,54.0,0,44.8,3,448
85,3,53.8,0,44.8,3,448
86,3,53.8,0,44.8,3,448
87,3,53.8,0,44.8,3,448
88,3,53.8,0,44.8,3,448
89,3,53.8,0,44.8,3,448
90,3,53.8,0,44.8,3,448
91,3,53.8,0,44.8,3,448
92,3,53.8,0,44.8,3,448
93,3,53.8,0,44.8,3,449
94,3,54.1,0,44.9,3,449
95,3,54.1,0,44.9,3,449
96,3,54.1,0,44.9,3,449
97,3,54.1,0,44.9,3,449
98,3,54.1,0,44.9,3,449
99,3,54.1,0,44.9,3,449
100,3,54.1,0,44.9,3,449
101,3,54.1,0,44.9,3,449
102,3,54.1,0,44.9,3,449
103,3,54.7,0,45.4,3,451
104,3,54.7,0,45.4,3,451
105,3,54.7,0,45.4,3,451
106,3,54.7,0,45.4,3,451
107,3,54.7,0,45.4,3,451
