t,thermal_status,ap_c,ap_status,skin_c,skin_status,battery_c
1,1,48.5,0,38.2,1,388
2,1,48.5,0,38.2,1,388
3,1,48.5,0,38.2,1,388
4,2,65.3,0,43.5,2,388
5,2,65.3,0,43.5,2,407
6,2,65.3,0,43.5,2,407
7,2,65.3,0,43.5,2,407
8,2,65.3,0,43.5,2,407
9,2,65.3,0,43.5,2,407
10,2,65.3,0,43.5,2,407
11,2,65.3,0,43.5,2,407
12,2,65.3,0,43.5,2,407
13,2,65.3,0,43.5,2,407
14,2,58.7,0,44.9,2,428
15,2,58.7,0,44.9,2,428
16,2,58.7,0,44.9,2,428
17,2,58.7,0,44.9,2,428
18,2,58.7,0,44.9,2,428
19,2,58.7,0,44.9,2,428
20,2,58.7,0,44.9,2,428
21,2,58.7,0,44.9,2,428
22,2,55.5,0,44.6,2,428
23,2,55.5,0,44.6,2,432
24,2,55.5,0,44.6,2,432
25,2,55.5,0,44.6,2,432
26,2,55.5,0,44.6,2,432
27,2,55.5,0,44.6,2,432
28,2,55.5,0,44.6,2,432
29,2,55.5,0,44.6,2,432
30,2,55.5,0,44.6,2,432
31,2,55.8,0,44.5,2,432
32,2,55.8,0,44.5,2,433
33,2,55.8,0,44.5,2,433
34,2,55.8,0,44.5,2,433
35,2,55.8,0,44.5,2,433
36,2,55.8,0,44.5,2,433
37,2,55.8,0,44.5,2,433
38,2,55.8,0,44.5,2,433
39,2,55.8,0,44.5,2,433
40,2,55.8,0,44.5,2,433
41,2,55.7,0,44.6,2,435
42,2,55.7,0,44.6,2,435
43,2,55.7,0,44.6,2,435
44,2,55.7,0,44.6,2,435
45,2,55.7,0,44.6,2,435
46,2,55.7,0,44.6,2,435
47,2,55.7,0,44.6,2,435
48,2,55.7,0,44.6,2,435
49,2,54.2,0,44.3,2,435
50,2,54.2,0,44.3,2,435
51,2,54.2,0,44.3,2,435
52,2,54.2,0,44.3,2,435
53,2,54.2,0,44.3,2,435
54,2,54.2,0,44.3,2,435
55,2,54.2,0,44.3,2,435
56,2,54.2,0,44.3,2,435
57,2,54.2,0,44.3,2,435
58,2,54.2,0,44.3,2,435
59,2,55.7,0,44.6,2,435
60,2,55.7,0,44.6,2,436
61,2,55.7,0,44.6,2,436
62,2,55.7,0,44.6,2,436
63,2,55.7,0,44.6,2,436
64,2,55.7,0,44.6,2,436
65,2,55.7,0,44.6,2,436
66,2,55.7,0,44.6,2,436
67,2,55.7,0,44.6,2,436
68,2,54.3,0,44.4,2,438
69,2,54.3,0,44.4,2,438
70,2,54.3,0,44.4,2,438
71,2,54.3,0,44.4,2,438
72,2,54.3,0,44.4,2,438
73,2,54.3,0,44.4,2,438
74,2,54.3,0,44.4,2,438
75,2,54.3,0,44.4,2,438
76,2,54.3,0,44.4,2,438
77,2,55.3,0,44.7,2,438
78,2,55.3,0,44.7,2,439
79,2,55.3,0,44.7,2,439
80,2,55.3,0,44.7,2,439
81,2,55.3,0,44.7,2,439
82,2,55.3,0,44.7,2,439
83,2,55.3,0,44.7,2,439
84,2,55.3,0,44.7,2,439
85,2,55.3,0,44.7,2,439
86,2,54.6,0,44.7,2,439
87,2,54.6,0,44.7,2,440
88,2,54.6,0,44.7,2,440
89,2,54.6,0,44.7,2,440
90,2,54.6,0,44.7,2,440
91,2,54.6,0,44.7,2,440
92,2,54.6,0,44.7,2,440
93,2,54.6,0,44.7,2,440
94,2,54.2,0,44.7,2,440
95,2,54.2,0,44.5,2,440
96,2,54.2,0,44.5,2,441
97,2,54.2,0,44.5,2,441
98,2,54.2,0,44.5,2,441
99,2,54.2,0,44.5,2,441
100,2,54.2,0,44.5,2,441
101,2,54.2,0,44.5,2,441
102,2,54.2,0,44.5,2,441
103,2,54.2,0,44.5,2,441
104,2,54.6,0,44.6,2,441
105,2,54.6,0,44.6,2,441
106,2,54.6,0,44.6,2,441
107,2,54.6,0,44.6,2,441
108,2,54.6,0,44.6,2,441
109,2,54.6,0,44.6,2,441
110,2,54.6,0,44.6,2,441
111,2,54.6,0,44.6,2,441
112,2,54.6,0,44.6,2,441
113,2,54.5,0,44.8,2,441
114,2,54.5,0,44.8,2,443
115,2,54.5,0,44.8,2,443
116,2,54.5,0,44.8,2,443
117,2,54.5,0,44.8,2,443
118,2,54.5,0,44.8,2,443
119,2,54.5,0,44.8,2,443
120,2,54.5,0,44.8,2,443
121,2,54.5,0,44.9,2,443
122,2,54.5,0,44.9,2,443
123,2,54.5,0,44.9,2,444
124,2,54.5,0,44.9,2,444
125,2,54.5,0,44.9,2,444
126,2,54.5,0,44.9,2,444
127,2,54.5,0,44.9,2,444
128,2,54.5,0,44.9,2,444
129,2,54.5,0,44.9,2,444
130,2,54.8,0,44.9,2,444
131,3,54.8,0,45.0,3,444
132,3,54.8,0,45.0,3,445
133,3,54.8,0,45.0,3,445
134,3,54.8,0,45.0,3,445
135,3,54.8,0,45.0,3,445
136,3,54.8,0,45.0,3,445
137,3,54.8,0,45.0,3,445
138,3,54.8,0,45.0,3,445
139,3,54.9,0,45.1,3,445
140,3,54.9,0,45.1,3,445
141,3,54.9,0,45.1,3,447
142,3,54.9,0,45.1,3,447
143,3,54.9,0,45.1,3,447
144,3,54.9,0,45.1,3,447
145,3,54.9,0,45.1,3,447
146,3,54.9,0,45.1,3,447
147,3,54.9,0,45.1,3,447
148,3,54.7,0,45.1,3,447
149,3,54.7,0,45.1,3,447
150,3,54.7,0,45.1,3,447
151,3,54.7,0,45.1,3,447
152,3,54.7,0,45.1,3,447
153,3,54.7,0,45.1,3,447
154,3,54.7,0,45.1,3,447
155,3,54.7,0,45.1,3,447
156,3,54.7,0,45.1,3,447
157,3,54.8,0,45.1,3,447
158,3,54.8,0,45.1,3,447
159,3,54.8,0,45.1,3,448
160,3,54.8,0,45.1,3,448
161,3,54.8,0,45.1,3,448
162,3,54.8,0,45.1,3,448
163,3,54.8,0,45.1,3,448
164,3,54.8,0,45.1,3,448
165,3,54.8,0,45.1,3,448
166,3,55.0,0,45.2,3,448
167,3,55.0,0,45.2,3,448
168,3,55.0,0,45.2,3,449
169,3,55.0,0,45.2,3,449
170,3,55.0,0,45.2,3,449
171,3,55.0,0,45.2,3,449
172,3,55.0,0,45.2,3,449
173,3,55.0,0,45.2,3,449
174,3,55.0,0,45.2,3,449
175,3,54.9,0,45.3,3,449
176,3,54.9,0,45.3,3,449
177,3,54.9,0,45.3,3,450
178,3,54.9,0,45.3,3,450
179,3,54.9,0,45.3,3,450
180,3,54.9,0,45.3,3,450
181,3,54.9,0,45.3,3,450
182,3,54.9,0,45.3,3,450
183,3,54.9,0,45.3,3,450
184,3,55.1,0,45.5,3,450
185,3,55.1,0,45.5,3,450
186,3,55.1,0,45.5,3,451
187,3,55.1,0,45.5,3,451
188,3,55.1,0,45.5,3,451
189,3,55.1,0,45.5,3,451
190,3,55.1,0,45.5,3,451
191,3,55.1,0,45.5,3,451
192,3,55.1,0,45.5,3,451
193,3,55.1,0,45.5,3,451
194,3,55.1,0,45.5,3,451
195,3,55.1,0,45.5,3,452
196,3,55.1,0,45.5,3,452
197,3,55.1,0,45.5,3,452
198,3,55.1,0,45.5,3,452
199,3,55.1,0,45.5,3,452
200,3,55.1,0,45.5,3,452
201,3,55.1,0,45.5,3,452
202,3,55.2,0,45.7,3,452
203,3,55.2,0,45.7,3,452
204,3,55.2,0,45.7,3,453
205,3,55.2,0,45.7,3,453
206,3,55.2,0,45.7,3,453
207,3,55.2,0,45.7,3,453
208,3,55.2,0,45.7,3,453
209,3,55.2,0,45.7,3,453
210,3,55.2,0,45.7,3,453
211,3,55.5,0,45.9,3,453
212,3,55.5,0,45.9,3,453
213,3,55.5,0,45.9,3,455
214,3,55.5,0,45.9,3,455
215,3,55.5,0,45.9,3,455
216,3,55.5,0,45.9,3,455
217,3,55.5,0,45.9,3,455
218,3,55.5,0,45.9,3,455
219,3,55.5,0,45.9,3,455
220,3,55.7,0,46.0,3,455
221,3,55.7,0,46.0,3,455
222,3,55.7,0,46.0,3,457
223,3,55.7,0,46.0,3,457
224,3,55.7,0,46.0,3,457
225,3,55.7,0,46.0,3,457
226,3,55.7,0,46.0,3,457
227,3,55.7,0,46.0,3,457
228,3,55.7,0,46.0,3,457
229,3,56.0,0,46.2,3,457
230,3,56.0,0,46.2,3,457
231,3,56.0,0,46.2,3,458
232,3,56.0,0,46.2,3,458
233,3,56.0,0,46.2,3,458
234,3,56.0,0,46.2,3,458
235,3,56.0,0,46.2,3,458
236,3,56.0,0,46.2,3,458
237,3,56.0,0,46.2,3,458
238,3,56.2,0,46.3,3,458
239,3,56.2,0,46.3,3,458
240,3,56.2,0,46.3,3,458
241,3,56.2,0,46.3,3,460
242,3,56.2,0,46.3,3,460
243,3,56.2,0,46.3,3,460
244,3,56.2,0,46.3,3,460
245,3,56.2,0,46.3,3,460
246,3,56.2,0,46.3,3,460
247,3,56.0,0,46.3,3,460
248,3,56.0,0,46.3,3,460
249,3,56.0,0,46.3,3,461
250,3,56.0,0,46.3,3,461
251,3,56.0,0,46.3,3,461
252,3,56.0,0,46.3,3,461
253,3,56.0,0,46.3,3,461
254,3,56.0,0,46.3,3,461
255,3,56.0,0,46.3,3,461
256,3,56.0,0,46.3,3,461
257,3,56.0,0,46.3,3,461
258,3,56.0,0,46.3,3,461
259,3,56.0,0,46.3,3,461
260,3,56.0,0,46.3,3,461
261,3,56.0,0,46.3,3,461
262,3,56.0,0,46.3,3,461
263,3,56.0,0,46.3,3,461
264,3,56.0,0,46.3,3,461
265,3,56.2,0,46.4,3,461
266,3,56.2,0,46.4,3,461
267,3,56.2,0,46.4,3,461
268,3,56.2,0,46.4,3,462
269,3,56.2,0,46.4,3,462
270,3,56.2,0,46.4,3,462
271,3,56.2,0,46.4,3,462
272,3,56.2,0,46.4,3,462
273,3,56.3,0,46.5,3,462
274,3,56.3,0,46.5,3,462
275,3,56.3,0,46.5,3,462
276,3,56.3,0,46.5,3,463
277,3,56.3,0,46.5,3,463
278,3,56.3,0,46.5,3,463
279,3,56.3,0,46.5,3,463
280,3,56.3,0,46.5,3,463
281,3,56.3,0,46.5,3,463
282,3,56.3,0,46.5,3,463
283,3,56.4,0,46.6,3,463
284,3,56.4,0,46.6,3,463
285,3,56.4,0,46.6,3,463
286,3,56.4,0,46.6,3,464
287,3,56.4,0,46.6,3,464
288,3,56.4,0,46.6,3,464
289,3,56.4,0,46.6,3,464
290,3,56.4,0,46.6,3,464
291,3,56.4,0,46.6,3,464
292,3,56.4,0,46.6,3,464
293,3,56.4,0,46.6,3,464
294,3,56.4,0,46.6,3,464
295,3,56.4,0,46.6,3,465
296,3,56.4,0,46.6,3,465
297,3,56.4,0,46.6,3,465
298,3,56.4,0,46.6,3,465
299,3,56.4,0,46.6,3,465
300,3,56.4,0,46.6,3,465
